Name;Price;Link
Acererak the Archlich;$ 7.40;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Acererak+the+Archlich#paper
Demilich;$ 22.03;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Demilich#paper
Ebondeath, Dracolich;$ 8.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Ebondeath+Dracolich#paper
Ellywick Tumblestrum;$ 4.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Ellywick+Tumblestrum#paper
Flameskull;$ 3.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Flameskull#paper
Grand Master of Flowers;$ 8.79;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Grand+Master+of+Flowers#paper
Icingdeath, Frost Tyrant;$ 4.24;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Icingdeath+Frost+Tyrant#paper
Inferno of the Star Mounts;$ 14.50;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Inferno+of+the+Star+Mounts#paper
Iymrith, Desert Doom;$ 12.58;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Iymrith+Desert+Doom#paper
Lolth, Spider Queen;$ 14.05;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Lolth+Spider+Queen#paper
Minsc, Beloved Ranger;$ 4.77;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Minsc+Beloved+Ranger#paper
Mordenkainen;$ 8.95;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Mordenkainen#paper
Old Gnawbone;$ 24.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Old+Gnawbone#paper
The Book of Exalted Deeds;$ 14.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/The+Book+of+Exalted+Deeds#paper
The Book of Vile Darkness;$ 4.00;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/The+Book+of+Vile+Darkness#paper
The Deck of Many Things;$ 5.50;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/The+Deck+of+Many+Things#paper
The Tarrasque;$ 5.87;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/The+Tarrasque#paper
Tiamat;$ 28.21;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Tiamat#paper
Xanathar, Guild Kingpin;$ 12.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Xanathar+Guild+Kingpin#paper
Zariel, Archduke of Avernus;$ 6.92;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Zariel+Archduke+of+Avernus#paper
Adult Gold Dragon;$ 0.88;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Adult+Gold+Dragon#paper
Asmodeus the Archfiend;$ 2.73;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Asmodeus+the+Archfiend#paper
Bard Class;$ 1.73;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Bard+Class#paper
Cave of the Frost Dragon;$ 1.70;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Cave+of+the+Frost+Dragon#paper
Circle of Dreams Druid;$ 10.00;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Circle+of+Dreams+Druid#paper
Dancing Sword;$ 0.62;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Dancing+Sword#paper
Delina, Wild Mage;$ 2.30;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Delina+Wild+Mage#paper
Den of the Bugbear;$ 2.48;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Den+of+the+Bugbear#paper
Dragon Turtle;$ 0.74;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Dragon+Turtle#paper
Drizzt Do'Urden;$ 2.94;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Drizzt+DoUrden#paper
Eye of Vecna;$ 2.59;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Eye+of+Vecna#paper
Fighter Class;$ 1.46;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Fighter+Class#paper
Flumph;$ 0.86;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Flumph#paper
Forsworn Paladin;$ 1.09;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Forsworn+Paladin#paper
Froghemoth;$ 1.26;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Froghemoth#paper
Gelatinous Cube;$ 0.86;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Gelatinous+Cube#paper
Grazilaxx, Illithid Scholar;$ 1.07;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Grazilaxx+Illithid+Scholar#paper
Guardian of Faith;$ 4.92;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Guardian+of+Faith#paper
Hall of Storm Giants;$ 1.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Hall+of+Storm+Giants#paper
Hand of Vecna;$ 1.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Hand+of+Vecna#paper
Hive of the Eye Tyrant;$ 1.98;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Hive+of+the+Eye+Tyrant#paper
Hobgoblin Bandit Lord;$ 2.44;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Hobgoblin+Bandit+Lord#paper
Instrument of the Bards;$ 1.21;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Instrument+of+the+Bards#paper
Lair of the Hydra;$ 3.30;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Lair+of+the+Hydra#paper
Long Rest;$ 1.08;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Long+Rest#paper
Loyal Warhound;$ 1.75;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Loyal+Warhound#paper
Mind Flayer;$ 1.66;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Mind+Flayer#paper
Minion of the Mighty;$ 3.45;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Minion+of+the+Mighty#paper
Monk Class;$ 1.64;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Monk+Class#paper
Nadaar, Selfless Paladin;$ 1.29;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Nadaar+Selfless+Paladin#paper
Ochre Jelly;$ 0.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Ochre+Jelly#paper
Orb of Dragonkind;$ 1.00;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Orb+of+Dragonkind#paper
Orcus, Prince of Undeath;$ 2.86;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Orcus+Prince+of+Undeath#paper
Oswald Fiddlebender;$ 4.21;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Oswald+Fiddlebender#paper
Paladin Class;$ 2.37;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Paladin+Class#paper
Ranger Class;$ 3.22;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Ranger+Class#paper
Rogue Class;$ 1.50;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Rogue+Class#paper
Skeletal Swarming;$ 0.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Skeletal+Swarming#paper
Sorcerer Class;$ 1.44;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Sorcerer+Class#paper
Sphere of Annihilation;$ 1.48;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Sphere+of+Annihilation#paper
Tasha's Hideous Laughter;$ 9.93;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Tashas+Hideous+Laughter#paper
Teleportation Circle;$ 1.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Teleportation+Circle#paper
The Blackstaff of Waterdeep;$ 0.76;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/The+Blackstaff+of+Waterdeep#paper
Treasure Chest;$ 1.40;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Treasure+Chest#paper
Treasure Vault;$ 9.83;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Treasure+Vault#paper
Triumphant Adventurer;$ 0.99;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Triumphant+Adventurer#paper
True Polymorph;$ 0.87;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/True+Polymorph#paper
Varis, Silverymoon Ranger;$ 0.62;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Varis+Silverymoon+Ranger#paper
Volo, Guide to Monsters;$ 2.35;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Volo+Guide+to+Monsters#paper
Vorpal Sword;$ 3.79;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Vorpal+Sword#paper
Werewolf Pack Leader;$ 3.11;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Werewolf+Pack+Leader#paper
Westgate Regent;$ 1.27;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Westgate+Regent#paper
Wight;$ 1.25;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Wight#paper
Wish;$ 2.03;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Wish#paper
Wizard's Spellbook;$ 0.98;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Wizards+Spellbook#paper
Xorn;$ 2.46;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Xorn#paper
Yuan-Ti Malison;$ 1.00;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Yuan-Ti+Malison#paper
Bruenor Battlehammer;$ 0.59;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Bruenor+Battlehammer#paper
Cleric Class;$ 0.65;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Cleric+Class#paper
Druid Class;$ 0.60;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Druid+Class#paper
Gretchen Titchwillow;$ 0.60;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Gretchen+Titchwillow#paper
Krydle of Baldur's Gate;$ 0.50;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Krydle+of+Baldurs+Gate#paper
Portable Hole;$ 1.08;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Portable+Hole#paper
Power Word Kill;$ 0.70;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Power+Word+Kill#paper
Prosperous Innkeeper;$ 0.50;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Prosperous+Innkeeper#paper
Temple of the Dragon Queen;$ 0.61;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Temple+of+the+Dragon+Queen#paper
Trelasarra, Moon Dancer;$ 0.50;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Trelasarra+Moon+Dancer#paper
Wizard Class;$ 0.55;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Wizard+Class#paper
Bundle;;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Adventures+in+the+Forgotten+Realms+Bundle-sealed#paper
Collector Booster Box;$ 360;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Adventures+in+the+Forgotten+Realms+Collector+Booster+Box-sealed#paper
Collector Booster Pack;$ 30;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Adventures+in+the+Forgotten+Realms+Collector+Booster+Pack-sealed#paper
Draft Booster Box;$ 138;https://www.mtggoldfish.com//price/Adventures+in+the+Forgotten+Realms/Adventures+in+the+Forgotten+Realms+Draft+Booster+Box-sealed#paper
